Country,Sex,Age,data_link
Afghanistan,f,0,https://data.worldpop.org/GIS/AgeSex_structures/Global_2000_2020/2020/AFG/afg_f_0_2020.tif
Afghanistan,m,0,https://data.worldpop.org/GIS/AgeSex_structures/Global_2000_2020/2020/AFG/afg_m_0_2020.tif
Afghanistan,f,1,https://data.worldpop.org/GIS/AgeSex_structures/Global_2000_2020/2020/AFG/afg_f_1_2020.tif
Afghanistan,m,1,https://data.worldpop.org/GIS/AgeSex_structures/Global_2000_2020/2020/AFG/afg_m_1_2020.tif
Afghanistan,f,5,https://data.worldpop.org/GIS/AgeSex_structures/Global_2000_2020/2020/AFG/afg_f_5_2020.tif
Afghanistan,m,5,https://data.worldpop.org/GIS/AgeSex_structures/Global_2000_2020/2020/AFG/afg_m_5_2020.tif
Afghanistan,f,10,https://data.worldpop.org/GIS/AgeSex_structures/Global_2000_2020/2020/AFG/afg_f_10_2020.tif
Afghanistan,m,10,https://data.worldpop.org/GIS/AgeSex_structures/Global_2000_2020/2020/AFG/afg_m_10_2020.tif
Afghanistan,f,15,https://data.worldpop.org/GIS/AgeSex_structures/Global_2000_2020/2020/AFG/afg_f_15_2020.tif
Afghanistan,m,15,https://data.worldpop.org/GIS/AgeSex_structures/Global_2000_2020/2020/AFG/afg_m_15_2020.tif
Afghanistan,f,20,https://data.worldpop.org/GIS/AgeSex_structures/Global_2000_2020/2020/AFG/afg_f_20_2020.tif
Afghanistan,m,20,https://data.worldpop.org/GIS/AgeSex_structures/Global_2000_2020/2020/AFG/afg_m_20_2020.tif
Afghanistan,f,25,https://data.worldpop.org/GIS/AgeSex_structures/Global_2000_2020/2020/AFG/afg_f_25_2020.tif
Afghanistan,m,25,https://data.worldpop.org/GIS/AgeSex_structures/Global_2000_2020/2020/AFG/afg_m_25_2020.tif
Afghanistan,f,30,https://data.worldpop.org/GIS/AgeSex_structures/Global_2000_2020/2020/AFG/afg_f_30_2020.tif
Afghanistan,m,30,https://data.worldpop.org/GIS/AgeSex_structures/Global_2000_2020/2020/AFG/afg_m_30_2020.tif
Afghanistan,f,35,https://data.worldpop.org/GIS/AgeSex_structures/Global_2000_2020/2020/AFG/afg_f_35_2020.tif
Afghanistan,m,35,https://data.worldpop.org/GIS/AgeSex_structures/Global_2000_2020/2020/AFG/afg_m_35_2020.tif
Afghanistan,f,40,https://data.worldpop.org/GIS/AgeSex_structures/Global_2000_2020/2020/AFG/afg_f_40_2020.tif
Afghanistan,m,40,https://data.worldpop.org/GIS/AgeSex_structures/Global_2000_2020/2020/AFG/afg_m_40_2020.tif
Afghanistan,f,45,https://data.worldpop.org/GIS/AgeSex_structures/Global_2000_2020/2020/AFG/afg_f_45_2020.tif
Afghanistan,m,45,https://data.worldpop.org/GIS/AgeSex_structures/Global_2000_2020/2020/AFG/afg_m_45_2020.tif
Afghanistan,f,50,https://data.worldpop.org/GIS/AgeSex_structures/Global_2000_2020/2020/AFG/afg_f_50_2020.tif
Afghanistan,m,50,https://data.worldpop.org/GIS/AgeSex_structures/Global_2000_2020/2020/AFG/afg_m_50_2020.tif
Afghanistan,f,55,https://data.worldpop.org/GIS/AgeSex_structures/Global_2000_2020/2020/AFG/afg_f_55_2020.tif
Afghanistan,m,55,https://data.worldpop.org/GIS/AgeSex_structures/Global_2000_2020/2020/AFG/afg_m_55_2020.tif
Afghanistan,f,60,https://data.worldpop.org/GIS/AgeSex_structures/Global_2000_2020/2020/AFG/afg_f_60_2020.tif
Afghanistan,m,60,https://data.worldpop.org/GIS/AgeSex_structures/Global_2000_2020/2020/AFG/afg_m_60_2020.tif
Afghanistan,f,65,https://data.worldpop.org/GIS/AgeSex_structures/Global_2000_2020/2020/AFG/afg_f_65_2020.tif
Afghanistan,m,65,https://data.worldpop.org/GIS/AgeSex_structures/Global_2000_2020/2020/AFG/afg_m_65_2020.tif
Afghanistan,f,70,https://data.worldpop.org/GIS/AgeSex_structures/Global_2000_2020/2020/AFG/afg_f_70_2020.tif
Afghanistan,m,70,https://data.worldpop.org/GIS/AgeSex_structures/Global_2000_2020/2020/AFG/afg_m_70_2020.tif
Afghanistan,f,75,https://data.worldpop.org/GIS/AgeSex_structures/Global_2000_2020/2020/AFG/afg_f_75_2020.tif
Afghanistan,m,75,https://data.worldpop.org/GIS/AgeSex_structures/Global_2000_2020/2020/AFG/afg_m_75_2020.tif
Afghanistan,f,80,https://data.worldpop.org/GIS/AgeSex_structures/Global_2000_2020/2020/AFG/afg_f_80_2020.tif
Afghanistan,m,80,https://data.worldpop.org/GIS/AgeSex_structures/Global_2000_2020/2020/AFG/afg_m_80_2020.tif
Albania,f,0,https://data.worldpop.org/GIS/AgeSex_structures/Global_2000_2020/2020/ALB/alb_f_0_2020.tif
Albania,m,0,https://data.worldpop.org/GIS/AgeSex_structures/Global_2000_2020/2020/ALB/alb_m_0_2020.tif
Albania,f,1,https://data.worldpop.org/GIS/AgeSex_structures/Global_2000_2020/2020/ALB/alb_f_1_2020.tif
Albania,m,1,https://data.worldpop.org/GIS/AgeSex_structures/Global_2000_2020/2020/ALB/alb_m_1_2020.tif
Albania,f,5,https://data.worldpop.org/GIS/AgeSex_structures/Global_2000_2020/2020/ALB/alb_f_5_2020.tif
Albania,m,5,https://data.worldpop.org/GIS/AgeSex_structures/Global_2000_2020/2020/ALB/alb_m_5_2020.tif
Albania,f,10,https://data.worldpop.org/GIS/AgeSex_structures/Global_2000_2020/2020/ALB/alb_f_10_2020.tif
Albania,m,10,https://data.worldpop.org/GIS/AgeSex_structures/Global_2000_2020/2020/ALB/alb_m_10_2020.tif
Albania,f,15,https://data.worldpop.org/GIS/AgeSex_structures/Global_2000_2020/2020/ALB/alb_f_15_2020.tif
Albania,m,15,https://data.worldpop.org/GIS/AgeSex_structures/Global_2000_2020/2020/ALB/alb_m_15_2020.tif
Albania,f,20,https://data.worldpop.org/GIS/AgeSex_structures/Global_2000_2020/2020/ALB/alb_f_20_2020.tif
Albania,m,20,https://data.worldpop.org/GIS/AgeSex_structures/Global_2000_2020/2020/ALB/alb_m_20_2020.tif
Albania,f,25,https://data.worldpop.org/GIS/AgeSex_structures/Global_2000_2020/2020/ALB/alb_f_25_2020.tif
Albania,m,25,https://data.worldpop.org/GIS/AgeSex_structures/Global_2000_2020/2020/ALB/alb_m_25_2020.tif
Albania,f,30,https://data.worldpop.org/GIS/AgeSex_structures/Global_2000_2020/2020/ALB/alb_f_30_2020.tif
Albania,m,30,https://data.worldpop.org/GIS/AgeSex_structures/Global_2000_2020/2020/ALB/alb_m_30_2020.tif
Albania,f,35,https://data.worldpop.org/GIS/AgeSex_structures/Global_2000_2020/2020/ALB/alb_f_35_2020.tif
Albania,m,35,https://data.worldpop.org/GIS/AgeSex_structures/Global_2000_2020/2020/ALB/alb_m_35_2020.tif
Albania,f,40,https://data.worldpop.org/GIS/AgeSex_structures/Global_2000_2020/2020/ALB/alb_f_40_2020.tif
Albania,m,40,https://data.worldpop.org/GIS/AgeSex_structures/Global_2000_2020/2020/ALB/alb_m_40_2020.tif
Albania,f,45,https://data.worldpop.org/GIS/AgeSex_structures/Global_2000_2020/2020/ALB/alb_f_45_2020.tif
Albania,m,45,https://data.worldpop.org/GIS/AgeSex_structures/Global_2000_2020/2020/ALB/alb_m_45_2020.tif
Albania,f,50,https://data.worldpop.org/GIS/AgeSex_structures/Global_2000_2020/2020/ALB/alb_f_50_2020.tif
Albania,m,50,https://data.worldpop.org/GIS/AgeSex_structures/Global_2000_2020/2020/ALB/alb_m_50_2020.tif
