Country,iso_country,meta_link
Afghanistan,AFG,no file
Albania,ALB,https://data.humdata.org/dataset/c069a2b7-2a1e-44d1-a12e-46e1740b172d/resource/083874a1-28de-45cd-b802-c1b82277c5dd/download/alb_general_2020_geotiff.zip
Algeria,DZA,no file
American Samoa,ASM,https://data.humdata.org/dataset/abc4f0c3-6ab3-449c-a497-8aa7cd14566b/resource/44975c8e-ed2c-48b1-9a18-705a614917c3/download/asm_general_2020_geotiff.zip
Andorra,AND,no file
Angola,AGO,no file
Anguilla,AIA,https://data.humdata.org/dataset/1a2cf213-8fa3-44ac-94bd-30bac3f88e98/resource/446fb149-2b80-4df7-84ce-ded6023bc2b6/download/aia_general_2020_geotiff.zip
Antartica,ATA,no file
Antigua And Barbuda,ATG,https://data.humdata.org/dataset/470e2414-a4d4-4096-8f38-40eebe268179/resource/60d7594f-3c4d-4191-b1b4-16d04ac35bbe/download/atg_general_2020_geotiff.zip
Argentina,ARG,https://data.humdata.org/dataset/6cf49080-1226-4eda-8700-a0093cbdfe4d/resource/5c62de88-0fa2-4b6f-81dc-e8c3bdb05cb6/download/population_arg_2018-10-01.zip
Armenia,ARM,https://data.humdata.org/dataset/b523d9cd-7167-49dd-b711-fe2033a63fc8/resource/74af95f8-e6b5-449f-bc1e-4bf9a20e8136/download/arm_general_2020_geotiff.zip
Aruba,ABW,https://data.humdata.org/dataset/5a6abd1f-9104-40bd-8ae4-5198ae5eacb3/resource/21bffed2-7cc2-4650-8107-0a0b892248ca/download/abw_general_2020_geotiff.zip
Australia,AUS,https://data.humdata.org/dataset/5ac850be-31be-4b6d-848c-c477b89b1c85/resource/6a8d9dcb-2c3f-4575-bac0-856d07aaea1c/download/population_aus_northeast_2018-10-01_geotiff.zip
Austria,AUT,https://data.humdata.org/dataset/66fa6572-0cf0-493d-8805-02a107169b29/resource/7b0ccb05-21bf-4b6a-9a56-6463e1f15d05/download/aut_general_2020_geotiff.zip
Azerbaijan,AZE,no file
Bahamas,BHS,https://data.humdata.org/dataset/ace064e2-79cd-4492-88e8-0bdc82c2a682/resource/e0ee9254-5699-459c-b4c9-199ef8adf5bd/download/bhs_general_2020_geotiff.zip
Bahrain,BHR,no file
Bangladesh,BGD,no file
Barbados,BRB,https://data.humdata.org/dataset/ee2abe39-e46b-4708-9204-7320433fc351/resource/b1350aec-a5e0-433e-a695-3370af903304/download/brb_general_2020_geotiff.zip
Belarus,BLR,https://data.humdata.org/dataset/a5377191-e756-4864-9ab6-67a867e9ad5e/resource/b665170b-42b7-412d-b028-a737ad9c2d74/download/blr_general_2020_geotiff.zip
Belgium,BEL,https://data.humdata.org/dataset/1979ecab-8630-41f3-a826-b2dc71fe0bc4/resource/12305ae3-84cc-4ffe-97a8-f55b2c54dfb5/download/bel_general_2020_geotiff.zip
Belize,BLZ,https://data.humdata.org/dataset/f7d96503-3e3b-457b-afdb-84aecccac0a9/resource/20c77ce9-c8db-491a-94e9-fbd603dee61c/download/blz_general_2020_geotiff.zip
Benin,BEN,https://data.humdata.org/dataset/ab712a75-5154-4034-802b-fbbd46c521fa/resource/2de8be7c-89a8-4443-963c-fd85eca054e6/download/ben_general_2020_geotiff.zip
Bermuda,BMU,no file
Bhutan,BTN,https://data.humdata.org/dataset/6c7491da-7b56-479d-b9e7-dda1ba905c2f/resource/afc34db6-683e-4e3a-8966-cdf03430f25e/download/btn_population_2020_geotiff.zip
Bolivia (Plurinational State of),BOL,https://data.humdata.org/dataset/64f916a6-2f35-4399-8971-25e18fdb09bd/resource/e192c9a8-a209-4dac-8744-31cd60246660/download/bol_general_2020_geotiff.zip
Bonaire Saint Eustatius and Saba,BES,no file
Bosnia And Herzegowina,BIH,https://data.humdata.org/dataset/b1aba2dd-6b51-4953-8320-1893757cda3d/resource/6aafdaa9-cbb4-4dd0-8f60-364fe8f8c277/download/bih_general_2020_geotiff.zip
Botswana,BWA,https://data.humdata.org/dataset/d39ba1fa-0be8-41b4-bf48-351b7b7bead7/resource/982c8153-bf3e-4650-b606-ee3ab7c37365/download/bwa_general_2020_geotiff.zip
Bouvet Island,BVT,no file
Brazil,BRA,https://data.humdata.org/dataset/c17003d1-47f4-4ec5-8229-2f77aeb114be/resource/17bedf4e-c521-4fe2-865a-1d7c1469b4a5/download/population_bra_northeast_2018-10-01.zip
British Indian Ocean Territory,IOT,no file
Brunei Darussalam,BRN,https://data.humdata.org/dataset/a4ecd606-4478-4469-8e96-b9b2245206be/resource/de4aa921-03e3-4125-91f7-8d86b1dc1060/download/brn_general_2020_geotiff.zip
Bulgaria,BGR,https://data.humdata.org/dataset/bec879d6-31e4-43af-8316-6fe32a2bf860/resource/4472d3e4-65eb-40c5-8a7e-2c889f720592/download/bgr_general_2020_geotiff.zip
Burkina Faso,BFA,https://data.humdata.org/dataset/cd8aee09-6f16-4c75-9d0a-f7047b625a39/resource/8b32088a-fbc1-4b54-a270-92cdd2da9a14/download/bfa_general_2020_geotiff.zip
Burundi,BDI,https://data.humdata.org/dataset/e6e32bcd-decc-46c1-859a-e773b32fd108/resource/bba1b736-f249-4c15-9163-51ff4c8f0786/download/bdi_general_2020_geotiff.zip
Cabo Verde,CPV,https://data.humdata.org/dataset/4ee7a140-45a6-46cd-b98c-4fdea5e16315/resource/02a9abb6-170f-4a47-b7d8-cbef513109a5/download/cpv_general_2020_geotiff.zip
Cambodia,KHM,https://data.humdata.org/dataset/a06c3e7b-8f38-4a99-85a9-f38103112a01/resource/b1a9673d-15f6-45e1-b4ad-113c9de678a6/download/khm_population_2020_geotiff.zip
Cameroon,CMR,https://data.humdata.org/dataset/dcdd6035-b29a-4e6a-8fc4-286ec68bdea1/resource/8f32bbf4-989b-41df-a3ef-22e540a6bb37/download/cmr_general_2020_geotiff.zip
Canada,CAN,no file
Cayman Islands,CYM,https://data.humdata.org/dataset/f00fb8db-8a26-4f23-a18b-018b1c5e0e8b/resource/942537b2-7e53-40c4-ac38-13f0b796e676/download/population_cym_2018-10-01.zip
Central African Republic,CAF,https://data.humdata.org/dataset/ca5041cf-abc1-4c74-93a0-17ee3a924f3e/resource/a588e3df-f100-4aee-b27e-3bc52dd1a1b8/download/caf_general_2020_geotiff.zip
Chad,TCD,https://data.humdata.org/dataset/99769693-aa51-406b-881d-dc35884bac45/resource/033ca651-b8dc-4ee1-87a5-7ef7aab2d6ad/download/population_tcd_2018-10-01.zip
Chile,CHL,https://data.humdata.org/dataset/dd47e052-02cc-4a3f-972a-421d600b3d85/resource/60e26929-176e-4c64-963b-f9410982023d/download/chl_general_2020_geotiff.zip
China,CHN,no file
Colombia,COL,no file
Comoros,COM,https://data.humdata.org/dataset/caef5a31-b0b8-4785-8038-d7da7e1e46d2/resource/6bcc38e2-822e-4786-b60f-005622430887/download/population_com_2018-10-01.zip
Congo,COG,https://data.humdata.org/dataset/8a0b1ab6-38dc-425b-9782-1e2dc47eb3b8/resource/45bffb36-4481-4458-b580-07f22279c287/download/population_cog_2018-10-01.zip
Cook Islands,COK,https://data.humdata.org/dataset/c318b1a7-6158-4a3e-9a1d-3737515cd4f1/resource/49e4acd0-5266-4036-89b5-83d9f8b6488f/download/population_cok_2018-10-01_geotiff.zip
Costa Rica,CRI,https://data.humdata.org/dataset/56d226ff-d18b-4847-bbf7-1a22aa9cd90e/resource/709186c5-c15e-4ca7-a202-1d57d3f81899/download/cri_general_2020_geotiff.zip
Croatia,HRV,https://data.humdata.org/dataset/40f63dc0-7589-4062-b90e-7ab3f34de6af/resource/4761ff8e-c447-48c3-8717-21b3332ee0e3/download/population_hrv_2019-07-01_geotiff.zip
Cuba,CUB,no file
Curaçao,CUW,no file
Cyprus,CYP,no file
Czechia,CZE,https://data.humdata.org/dataset/b0f6cd4c-cc17-4814-a854-ca650882ad92/resource/e7a2c68f-7a5a-49d2-9d01-e7da974e03d3/download/cze_general_2020_geotiff.zip
Côte d'Ivoire,CIV,https://data.humdata.org/dataset/55da8db5-f23a-489d-8bf4-324fa309c87c/resource/f14b9e0e-c057-46e0-8732-30d14b9239ee/download/civ_general_2020_geotiff.zip
Democratic People's Republic of Korea,PRK,no file
Democratic Republic of the Congo,COD,https://data.humdata.org/dataset/81932f5a-4aa5-4c72-b085-3bde5fef349c/resource/51687557-2934-4d90-98a6-f604a856fdaa/download/cod_general_2020_geotiff.zip
Denmark,DNK,https://data.humdata.org/dataset/c846d97b-4363-469a-b66b-1ac2674913b0/resource/6b8f1b74-8960-4342-9c0d-a5b0099a95da/download/dnk_general_2020_geotiff.zip
Djibouti,DJI,https://data.humdata.org/dataset/f419e2e0-8f49-4c91-94d3-0b7a901aaef3/resource/101a1222-1a78-4ed4-af45-4af364bc5a05/download/dji_general_2020_geotiff.zip
Dominica,DMA,https://data.humdata.org/dataset/e3fb641d-68c2-481a-b2fb-e6a362439029/resource/ee633cae-5f1d-4bfd-a969-8c0f4808ae5e/download/dma_general_2020_geotiff.zip
Dominican Republic,DOM,https://data.humdata.org/dataset/d51ef7a1-7773-46ae-b7d4-23fd0bc6b465/resource/cec66bd4-f7b5-43f4-86ea-b46c357167c1/download/population_dom_2018-10-01.zip
Ecuador,ECU,https://data.humdata.org/dataset/58c3ac3f-febd-4222-8969-59c0fe0e7a0d/resource/e2d1f034-cc0c-44e0-baac-f261f50679f0/download/ecu_general_2020_geotiff.zip
Egypt,EGY,https://data.humdata.org/dataset/e5987778-99d2-4243-9cca-2b32f539df86/resource/6fe9955c-5fec-4b6d-8102-5129d1aada3f/download/population_egy_2018-10-01.zip
El Salvador,SLV,https://data.humdata.org/dataset/858b2b25-f807-4bef-8385-bff2f053dd1e/resource/bd8717d8-38a8-4d40-aa65-c56ae49d587d/download/population_slv_2018-10-01.zip
Equatorial Guinea,GNQ,https://data.humdata.org/dataset/b2882f5f-ca1b-4b88-911b-363a90d22146/resource/5f63456d-5e74-47e4-8f21-f1389059e359/download/gnq_general_2020_geotiff.zip
Eritrea,ERI,https://data.humdata.org/dataset/5dcd3716-c351-453c-8946-3492f2e81bbd/resource/3cd0aa71-7973-4cb2-aae0-4fc5231e3527/download/eri_general_2020_geotiff.zip
Estonia,EST,https://data.humdata.org/dataset/e53a33d3-c0c3-47b8-b99a-0605ba08deb7/resource/6b980ac1-a3fa-4c05-ae89-62a740bc97b5/download/est_general_2020_geotiff.zip
Eswatini,SWZ,no file
Ethiopia,ETH,no file
Falkland Islands (Malvinas),FLK,no file
Faroe Islands,FRO,https://data.humdata.org/dataset/f6da54c9-430f-41be-a936-5e7e56e273fa/resource/7633ad09-ab0d-445a-b565-6d9725201fe9/download/fro_general_2020_geotiff.zip
Fiji,FJI,https://data.humdata.org/dataset/ef2c6a15-156e-44a7-9c71-0c4fe1fac81d/resource/d2f9f340-c138-4636-881e-9950d429187a/download/population_fji_2018-10-01_geotiff.zip
Finland,FIN,https://data.humdata.org/dataset/91be6b97-c32f-49b9-9e2d-aa620f05adb4/resource/eafe3401-0df2-4745-a3c3-32977aceb87d/download/fin_general_2020_geotiff.zip
France,FRA,https://data.humdata.org/dataset/da0f4294-57ea-473d-98b8-315f1135f793/resource/31b78452-80ab-4b7d-83fd-abac262083ce/download/population_fra_2019-07-01_geotiff.zip
French Guiana,GUF,https://data.humdata.org/dataset/6030db92-b637-403b-8aa9-155655e7f8f0/resource/270b4447-ebee-4ead-a594-ba232f3acf4d/download/guf_general_2020_geotiff.zip
French Polynesia,PYF,https://data.humdata.org/dataset/eef51122-205e-4141-8e00-ed30137b2254/resource/fe54280c-aae9-41c2-a5c3-aeec74bd6a0a/download/population_pyf_2018-10-01_geotiff.zip
French Southern Territories,ATF,no file
Gabon,GAB,https://data.humdata.org/dataset/06eb40c4-a8a3-4f51-8294-25546cfe1d7b/resource/9c911143-627b-4b35-97e9-2efe5b7de5f1/download/gab_general_2020_geotiff.zip
Gambia,GMB,https://data.humdata.org/dataset/e3906ddc-c27d-4269-b1b7-700554fb75ba/resource/8a70fcde-7ff0-422a-a2a8-ef3163f8b476/download/gmb_general_2020_geotiff.zip
Georgia,GEO,https://data.humdata.org/dataset/ae294047-fa34-4203-a09d-bcdef5572495/resource/54070857-b91a-4ddd-9e65-44d24dc04fe4/download/geo_general_2020_geotiff.zip
Germany,DEU,https://data.humdata.org/dataset/7d08e2b0-b43b-43fd-a6a6-a308f222cdb2/resource/7c02d6ee-1630-42bb-abcd-90bc7b3fa169/download/population_deu_2019-07-01_geotiff.zip
Ghana,GHA,no file
Gibraltar,GIB,no file
Greece,GRC,https://data.humdata.org/dataset/16f0abe9-0ff1-4a69-9b91-132a3179b681/resource/4c8f435d-2c66-421d-9b4c-16b0556f5af3/download/grc_general_2020_geotiff.zip
Greenland,GRL,no file
