country_name,iso_code,url
Afghanistan,AFG,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Afghanistan.zip
Albania,ALB,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Albania.zip
Algeria,DZA,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Algeria.zip
Andorra,AND,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Andorra.zip
Angola,AGO,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Angola.zip
Anguilla,AIA,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Anguilla.zip
Antigua and Barbuda,ATG,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Antigua%20and%20Barbuda.zip
Argentina,ARG,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Argentina.zip
Armenia,ARM,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Armenia.zip
Aruba,ABW,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Aruba.zip
Austria,AUT,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Austria.zip
Azerbaijan,AZE,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Azerbaijan.zip
Bahrain,BHR,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Bahrain.zip
Bangladesh,BGD,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Bangladesh.zip
Barbados,BRB,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Barbados.zip
Belarus,BLR,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Belarus.zip
Belgium,BEL,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Belgium.zip
Belize,BLZ,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Belize.zip
Benin,BEM,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Benin.zip
Bhutan,BTN,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Bhutan.zip
Bolivia,BOL,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Bolivia.zip
Bonaire,BES,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Bonaire.zip
Bosnia and Herzegovina,BIH,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Bosnia%20and%20Herzegovina.zip
Botswana,BWA,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Botswana.zip
Brazil,BRA,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Brazil.zip
British Indian Ocean Territory,IOT,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/British%20Indian%20Ocean%20Territory.zip
British Virgin Islands,VGB,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/British%20Virgin%20Islands.zip
Bulgaria,BGR,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Bulgaria.zip
Burkina Faso,BFA,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Burkina%20Faso.zip
Burundi,BDI,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Burundi.zip
Cambodia,KHM,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Cambodia.zip
Cameroon,CMR,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Cameroon.zip
Cayman Islands,CYM,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Cayman%20Islands.zip
Central African Republic,CAF,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Central%20African%20Republic.zip
Chad,TCD,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Chad.zip
Chile,CHL,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Chile.zip
Colombia,COL,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Colombia.zip
Comoros,COM,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Comoros.zip
Democreatic Republic of the Congo,COD,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Congo%20%28DRC%29.zip
Costa Rica,CRI,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Costa%20Rica.zip
